area_code,customer_code,child_sku_code,coc_03_code,gsv
E41583,E50835,20065734,C00183,-0.03
E41583,E50835,20065734,C00187,0.00
E41583,E50835,20065734,C00188,0.13
E41583,E50835,20065734,C00199,-9.42
E41583,E50835,20070841,C00183,-0.04
E41583,E50835,20071069,C00183,-1.08
E41583,E50835,20071069,C00186,-0.03
E41583,E50835,20088420,C00183,-0.53
E41583,E50835,20088420,C00185,-0.03
E41583,E50835,20088420,C00186,-0.17
E41583,E50835,20088420,C00191,-0.01
E41583,E50835,20088420,C00204,-0.53
E41583,E50835,20094079,C00182,24.50
E41583,E50835,20094079,C00183,41.67
E41583,E50835,20094079,C00186,5.92
E41583,E50835,20094079,C00188,-0.17
E41583,E50835,20094079,C00189,0.06
E41583,E50835,20094079,C00191,0.69
E41583,E50835,20094744,C00183,-0.03
E41583,E50835,20094744,C00186,-0.50
E41583,E50835,20209476,C00191,-0.04
E41583,E50835,20226140,C00182,152.42
E41583,E50835,20226140,C00183,457.50
E41583,E50835,20226140,C00185,18.63
E41583,E50835,20226140,C00186,103.17
E41583,E50835,20226140,C00187,49.71
E41583,E50835,20226140,C00188,18.21
E41583,E50835,20226140,C00189,3.13
E41583,E50835,20226140,C00191,164.88
E41583,E50835,20226140,C00195,0.13
E41583,E50835,20226140,C00196,0.13
E41583,E50835,20226140,C00199,103.29
E41583,E50835,20226140,C00200,0.38
E41583,E50835,20226140,C00204,13.00
E41583,E50835,20228246,C00182,91.50
E41583,E50835,20228246,C00183,267.46
E41583,E50835,20228246,C00185,58.42
E41583,E50835,20228246,C00186,108.63
E41583,E50835,20228246,C00187,109.13
E41583,E50835,20228246,C00188,67.08
E41583,E50835,20228246,C00189,6.67
E41583,E50835,20228246,C00191,212.83
E41583,E50835,20228246,C00195,2.00
E41583,E50835,20228246,C00196,4.50
E41583,E50835,20228246,C00199,-2.00
E41583,E50835,20228246,C00200,2.75
E41583,E50835,20228246,C00204,19.00
E41583,E50835,20228248,C00182,24.17
E41583,E50835,20228248,C00183,86.89
E41583,E50835,20228248,C00185,14.97
E41583,E50835,20228248,C00186,23.28
E41583,E50835,20228248,C00187,12.53
E41583,E50835,20228248,C00188,2.75
E41583,E50835,20228248,C00189,1.01
E41583,E50835,20228248,C00191,16.74
E41583,E50835,20228248,C00199,0.14
E41583,E50835,20228248,C00204,6.39
E41583,E50835,20228249,C00182,52.97
E41583,E50835,20228249,C00183,170.08
E41583,E50835,20228249,C00185,25.33
E41583,E50835,20228249,C00186,39.97
E41583,E50835,20228249,C00187,14.61
E41583,E50835,20228249,C00188,5.94
E41583,E50835,20228249,C00189,3.36
E41583,E50835,20228249,C00191,41.03
E41583,E50835,20228249,C00199,0.44
E41583,E50835,20228249,C00204,14.50
E41583,E50835,20228256,C00182,121.00
E41583,E50835,20228256,C00183,313.38
E41583,E50835,20228256,C00185,47.17
E41583,E50835,20228256,C00186,102.33
E41583,E50835,20228256,C00187,106.69
E41583,E50835,20228256,C00188,72.19
E41583,E50835,20228256,C00189,5.75
E41583,E50835,20228256,C00191,117.88
E41583,E50835,20228256,C00195,0.13
E41583,E50835,20228256,C00196,2.63
E41583,E50835,20228256,C00199,0.13
E41583,E50835,20228256,C00200,5.13
E41583,E50835,20228256,C00204,9.50
E41583,E50835,20228257,C00182,139.17
E41583,E50835,20228257,C00183,357.13
E41583,E50835,20228257,C00185,31.67
E41583,E50835,20228257,C00186,80.17
E41583,E50835,20228257,C00187,31.52
E41583,E50835,20228257,C00188,9.35
E41583,E50835,20228257,C00189,1.54
E41583,E50835,20228257,C00191,74.00
E41583,E50835,20228257,C00196,0.50
E41583,E50835,20228257,C00199,226.83
E41583,E50835,20228257,C00200,0.38
E41583,E50835,20228257,C00204,11.25
E41583,E50835,20229792,C00183,6.00
E41583,E50835,20229792,C00186,0.67
E41583,E50835,20229792,C00191,0.17
E41583,E50835,20229792,C00199,0.08
E41583,E50835,20234480,C00183,-0.21
E41583,E50835,20234480,C00185,-0.08
E41583,E50835,20234480,C00186,-0.04
E41583,E50835,20234480,C00191,-0.04
E41583,E50835,20237416,C00191,-0.08
E41583,E50835,20248034,C00182,19.33
E41583,E50835,20248034,C00183,89.53
E41583,E50835,20248034,C00185,9.78
E41583,E50835,20248034,C00186,18.64
E41583,E50835,20248034,C00187,18.75
