ship_to_code,child_sku_code,gsv
15108591,20284539,0.167
15108591,21001434,0.167
15108591,21001985,0.136
15108591,21051973,0.167
15108591,21051975,0.167
15108591,21051977,0.167
15108591,21066191,0.167
15108591,21067671,0.167
15108591,21086713,0.167
15108591,21086714,0.167
15108591,21086715,0.167
15108591,21086717,0.167
15108591,21086718,0.167
15108591,21090470,0.167
15108591,21090472,0.167
15108591,21090473,0.167
15108591,21120504,0.167
15108591,21148868,0.136
15108591,21148869,0.219
15108591,21148870,0.167
15108591,62052226,0.167
15108591,63070400,0.167
15108591,63070500,0.167
15108591,63914557,0.167
15108591,63914558,0.167
15108591,63914561,0.167
15108591,65004308,0.167
15108591,65004310,0.167
15108591,65004320,0.167
15108591,65004475,0.167
15108591,65004476,0.167
15108591,65004555,0.167
15108591,65004680,0.167
15108591,65021353,0.167
15109589,20081774,1.022
15109589,20086769,0.864
15109589,20087940,0.068
15109589,20088413,0.166
15109589,20094074,0.111
15109589,20094079,0.207
15109589,20205116,0.014
15109589,20224880,0.280
15109589,20224883,0.175
15109589,20226137,0.079
15109589,20226139,0.250
15109589,20226140,3.155
15109589,20228066,0.127
15109589,20228246,2.188
15109589,20228247,1.437
15109589,20228248,0.392
15109589,20228249,0.839
15109589,20228253,0.282
15109589,20228255,0.630
15109589,20228256,1.160
15109589,20228257,1.507
15109589,20229781,0.037
15109589,20229792,0.013
15109589,20229807,0.227
15109589,20230438,1.533
15109589,20236585,0.044
15109589,20236586,0.245
15109589,20240484,0.167
15109589,20241701,0.294
15109589,20248029,0.000
15109589,20248031,0.121
15109589,20248034,0.535
15109589,20249673,0.135
15109589,20250394,0.000
15109589,20253707,0.298
15109589,20254003,0.078
15109589,20254006,0.093
15109589,20254008,0.137
15109589,20261111,0.285
15109589,20261112,0.305
15109589,20266523,0.070
15109589,20267429,18.000
15109589,20269498,0.012
15109589,20269560,0.406
15109589,20269561,0.141
15109589,20269588,0.234
15109589,20270154,0.054
15109589,20270159,0.086
15109589,20270160,0.141
15109589,20270164,0.275
15109589,20270171,0.200
15109589,20270172,0.367
15109589,20270174,0.135
15109589,20270187,0.094
15109589,20270207,0.117
15109589,20270209,0.071
15109589,20270210,0.080
15109589,20270242,0.152
15109589,20270243,0.189
15109589,20271012,0.099
15109589,20271014,0.050
15109589,20271015,0.055
15109589,20271018,0.083
15109589,20271019,0.021
15109589,20271022,0.094
15109589,20271023,0.070
15109589,20271026,0.028
15109589,20271027,0.090
15109589,20271981,0.468
15109589,20272347,0.965
15109589,20274414,2.517
15109589,20274597,0.051
15109589,20275028,2.123
15109589,20275678,0.725
15109589,20276983,0.237
15109589,20276987,0.475
15109589,20276990,0.647
15109589,20276991,0.113
15109589,20277272,0.065
15109589,20277317,0.312
15109589,20277327,0.089
15109589,20277330,0.189
15109589,20277374,0.521
15109589,20277449,0.111
15109589,20277839,0.863
15109589,20277848,1.600
15109589,20277851,0.336
15109589,20277852,0.120
15109589,20279003,1.702
15109589,20279004,1.713
15109589,20279005,1.955
15109589,20283270,0.065
15109589,20284832,1.473
15109589,20284833,0.983
15109589,20287624,0.060
15109589,20288232,0.294
15109589,20290758,0.333
15109589,20290759,1.026
15109589,20290762,0.697
15109589,20291630,0.967
15109589,20291633,0.167
15109589,20291636,0.167
15109589,20292808,0.163
15109589,20292809,0.132
15109589,20292810,0.100
15109589,20292811,0.205
15109589,20292812,0.251
15109589,20292813,0.070
15109589,20292814,0.108
15109589,20292815,0.171
15109589,20292816,0.088
15109589,20292817,0.077
15109589,20292818,0.140
15109589,20292819,0.089
15109589,20293277,0.175
15109589,20293278,0.255
15109589,20293279,0.045
15109589,20293280,0.053
15109589,20293282,0.040
15109589,20293283,0.142
15109589,20293285,0.147
15109589,20293286,0.094
15109589,20293287,0.268
15109589,20293288,0.042
15109589,20293289,0.033
15109589,20293291,0.159
15109589,20294787,0.017
15109589,20294810,0.248
15109589,20294812,0.226
15109589,20294813,1.051
15109589,20294814,0.708
15109589,20294816,0.135
15109589,20295584,0.098
15109589,20296955,3.738
15109589,20302873,0.000
15109589,20303828,0.023
15109589,20303914,0.254
15109589,20304205,0.000
15109589,20304206,0.011
15109589,20304735,2.016
15109589,20304736,27.523
15109589,20304737,0.533
15109589,20304738,0.664
15109589,20304739,6.875
15109589,21000615,0.003
15109589,21000616,0.081
15109589,21000763,68.873
15109589,21000764,1.276
15109589,21000765,2.367
15109589,21000766,0.891
15109589,21000767,54.046
15109589,21000768,0.870
15109589,21000769,1.479
15109589,21000770,0.633
15109589,21000771,23.134
15109589,21000772,0.370
15109589,21000773,0.381
15109589,21000774,0.530
15109589,21000775,10.007
15109589,21000777,0.815
15109589,21000778,4.072
15109589,21000779,0.000
15109589,21000780,0.421
15109589,21000781,2.811
15109589,21001434,40.213
15109589,21001513,0.185
15109589,21001514,0.173
15109589,21001515,0.162
15109589,21001914,1.308
15109589,21001985,8.875
15109589,21002316,1.533
15109589,21002318,0.210
15109589,21002319,0.789
15109589,21002321,0.091
15109589,21002844,5.509
15109589,21002845,1.375
15109589,21002846,0.085
15109589,21002847,0.079
15109589,21008977,62.528
15109589,21008978,1.000
15109589,21008979,2.226
15109589,21008981,0.000
15109589,21008985,1.475
15109589,21008986,0.257
15109589,21009047,0.352
15109589,21009048,0.899
15109589,21009137,0.754
15109589,21009138,0.553
15109589,21009139,0.365
15109589,21010304,0.224
15109589,21010306,0.083
15109589,21010308,0.167
15109589,21013229,0.146
15109589,21013230,0.111
15109589,21013232,0.074
15109589,21013235,0.067
15109589,21013982,0.005
15109589,21013983,0.077
15109589,21013984,0.052
15109589,21013985,0.094
15109589,21013986,0.139
15109589,21013987,0.005
15109589,21013988,0.052
15109589,21013989,0.005
15109589,21015691,0.734
15109589,21015692,0.692
15109589,21017750,0.070
15109589,21017751,0.134
15109589,21018376,0.104
15109589,21018836,0.107
15109589,21018909,0.797
15109589,21018911,0.402
15109589,21018912,0.372
15109589,21019554,0.066
15109589,21019587,0.242
15109589,21019617,0.214
15109589,21021063,1.005
15109589,21021066,0.895
15109589,21021067,0.305
15109589,21021068,0.497
15109589,21021072,0.764
15109589,21021073,0.619
15109589,21021076,0.356
15109589,21021077,0.325
15109589,21021919,0.000
15109589,21024222,0.154
15109589,21024702,0.184
15109589,21025372,0.305
15109589,21025373,0.199
15109589,21025550,4.418
15109589,21025551,0.391
15109589,21025552,0.754
15109589,21025553,0.280
15109589,21026412,1.448
