area_code,customer_code,child_sku_code,coc_03_code,gsv
E41583,E50835,20065734,C00183,-0.031
E41583,E50835,20065734,C00187,-0.002
E41583,E50835,20065734,C00188,0.125
E41583,E50835,20065734,C00199,-9.417
E41583,E50835,20070841,C00183,-0.042
E41583,E50835,20071069,C00183,-1.083
E41583,E50835,20071069,C00186,-0.028
E41583,E50835,20088420,C00183,-0.528
E41583,E50835,20088420,C00185,-0.028
E41583,E50835,20088420,C00186,-0.167
E41583,E50835,20088420,C00191,-0.014
E41583,E50835,20088420,C00204,-0.528
E41583,E50835,20094079,C00182,24.500
E41583,E50835,20094079,C00183,41.667
E41583,E50835,20094079,C00186,5.917
E41583,E50835,20094079,C00188,-0.167
E41583,E50835,20094079,C00189,0.063
E41583,E50835,20094079,C00191,0.688
E41583,E50835,20094744,C00183,-0.028
E41583,E50835,20094744,C00186,-0.497
E41583,E50835,20209476,C00191,-0.042
E41583,E50835,20226140,C00182,152.417
E41583,E50835,20226140,C00183,457.500
E41583,E50835,20226140,C00185,18.625
E41583,E50835,20226140,C00186,103.167
E41583,E50835,20226140,C00187,49.708
E41583,E50835,20226140,C00188,18.208
E41583,E50835,20226140,C00189,3.125
E41583,E50835,20226140,C00191,164.875
E41583,E50835,20226140,C00195,0.125
E41583,E50835,20226140,C00196,0.125
E41583,E50835,20226140,C00199,103.292
E41583,E50835,20226140,C00200,0.375
E41583,E50835,20226140,C00204,13.000
E41583,E50835,20228246,C00182,91.500
E41583,E50835,20228246,C00183,267.458
E41583,E50835,20228246,C00185,58.417
E41583,E50835,20228246,C00186,108.625
E41583,E50835,20228246,C00187,109.125
E41583,E50835,20228246,C00188,67.083
E41583,E50835,20228246,C00189,6.667
E41583,E50835,20228246,C00191,212.833
E41583,E50835,20228246,C00195,2.000
E41583,E50835,20228246,C00196,4.500
E41583,E50835,20228246,C00199,-2.000
E41583,E50835,20228246,C00200,2.750
E41583,E50835,20228246,C00204,19.000
E41583,E50835,20228248,C00182,24.167
E41583,E50835,20228248,C00183,86.889
E41583,E50835,20228248,C00185,14.972
E41583,E50835,20228248,C00186,23.278
E41583,E50835,20228248,C00187,12.528
E41583,E50835,20228248,C00188,2.750
E41583,E50835,20228248,C00189,1.014
E41583,E50835,20228248,C00191,16.736
E41583,E50835,20228248,C00199,0.139
E41583,E50835,20228248,C00204,6.389
E41583,E50835,20228249,C00182,52.972
E41583,E50835,20228249,C00183,170.083
E41583,E50835,20228249,C00185,25.333
E41583,E50835,20228249,C00186,39.972
E41583,E50835,20228249,C00187,14.611
E41583,E50835,20228249,C00188,5.944
E41583,E50835,20228249,C00189,3.361
E41583,E50835,20228249,C00191,41.028
E41583,E50835,20228249,C00199,0.444
E41583,E50835,20228249,C00204,14.500
E41583,E50835,20228256,C00182,121.000
E41583,E50835,20228256,C00183,313.375
E41583,E50835,20228256,C00185,47.167
E41583,E50835,20228256,C00186,102.333
E41583,E50835,20228256,C00187,106.688
E41583,E50835,20228256,C00188,72.188
E41583,E50835,20228256,C00189,5.750
E41583,E50835,20228256,C00191,117.875
