sap_code,sap_desc,pack_size,barcode,case_code,price_case,price_case_tax,price,srp
21086717,SURF NSD BAR BLOSSOM FRESH 96X140G,96,4800888136671,24800888136675,660,739,8,8
21090470,SURF NSD BAR BFRESH 36X390G,36,4800888136688,24800888136682,661,740,21,22
21090471,SURF NSD BAR BLU 36X390G,36,4800888136701,24800888136705,553,619,17,19
21086713,SURF NSD BAR KALAMANSI 96X140G,96,4800888136732,24800888136736,660,739,8,8
21090472,SURF NSD BAR KALAMANSI 36X390G,36,4800888136749,24800888136743,569,637,18,19
21086714,SURF NSD BAR SUNFRESH 96X140G,96,4800888136770,24800888136774,660,739,8,8
21090473,SURF NSD BAR SFRSH 36X390G,36,4800888136787,24800888136781,661,740,21,22
21086715,SURF NSD BAR TAWAS 96X140G,96,4800888136794,24800888136798,660,739,8,8
21090474,SURF NSD BAR TAW 36X390G,36,4800888136800,24800888136804,569,637,18,19
67004406,SURF BAR CHERRY BLOSSOM 36X390G,36,4800888190987,24800888190981,661,740,21,22
67004408,SURF BAR CHERRY BLOSSOM 96X140G,96,4800888190970,24800888190974,660,739,8,8
21001434,SURF HS STD PWDR BLOSSOM FRESH 144X82G,144,4800888177124,24800888177128,874,979,7,8
21051975,SURF HS STD PWDR BLOSSOMFRESH 24X550G,24,4800888181558,24800888181552,990,1109,46,51
21051980,SURF HS STD PWDR BLOSSOMFRESH 12X1100G,12,4800888181602,24800888181606,972,1089,91,98
21051988,SURF HS STD PWDR BLOSSOMFRESH 6X2200G,6,4800888181688,24800888181682,960,1075,179,194
21148868,SURF HS STD PWDR SUN FRESH 96X65G,96,4800888151841,24800888151845,381,427,4,5
21051979,SURF HS STD PWDR SUNFRESH 12X1100G,12,4800888181596,24800888181590,783,877,73,80
21051987,SURF HS STD PWDR SUNFRESH 6X2200G,6,4800888181671,24800888181675,771,864,144,157
21148869,SURF HS STD PWDR KALAMANSI 96X65G,96,4800888151827,24800888151821,381,427,4,5
21051973,SURF HS STD PWDR KALAMANSI 24X550G,24,4800888181534,24800888181538,795,890,37,41
21051977,SURF HS STD PWDR KALAMANSI 12X1100G,12,4800888181572,24800888181576,783,877,73,80
21051985,SURF HS STD PWDR KALAMANSI 6X2200G,6,4800888181657,24800888181651,771,864,144,157
21148870,SURF HS STD PWDR TAWAS 96X65G,96,4800888151834,24800888151838,381,427,4,5
21051978,SURF HS STD PWDR TAWAS 12X1100G,12,4800888181589,24800888181583,783,877,73,80
21051986,SURF HS STD PWDR TAWAS 6X2200G,6,4800888181664,24800888181668,771,864,144,157
21001985,SURF HS STD PWDR ANTIBAC 144X82G,144,4800888177117,24800888177111,874,979,7,8
21086718,SURF NSD BAR ANTIBAC 96X140G,96,4800888155962,24800888155966,660,739,8,8
21090476,SURF NSD BAR AB 36X390G,36,4800888155986,24800888155980,661,740,21,22
21051984,SURF HS STD PWDR ANTIBAC 12X1100G,12,4800888181640,24800888181644,972,1089,91,98
21051992,SURF HS STD PWDR ANTIBAC 6X2200G,6,4800888181725,24800888181729,960,1075,179,194
21067671,SURF STD PWDR ROSE FRESH 96X65G,96,4800888183804,24800888183808,381,427,4,5
32018353,SURF HS STD POWDER ROSE FRESH 144X100G,144,4800888191526,24800888191520,874,979,7,8
21188313,SURF HS STD PWDR CHERRY BLOSSOM 288X57G,288,4800888189806,24800888189800,1144,1282,4,5
21188311,SURF HS STD PWDR CHERRY BLOSSOM 12X1100G,12,4800888189813,24800888189817,783,877,73,80
21188309,SURF HS STD PWDR CHERRY BLOSSOM 6X2200G,6,4800888189820,24800888189824,771,864,144,157
21148364,BREEZE HSCN POWDER ACTIVEBLEACH 144X70G,144,4800888187840,24800888187844,1183,1325,9,10
21039096,BREEZE HS CONC PWDR ACTVBLCH PCH24X700G,24,4800888180407,24800888180401,1871,2095,87,97
21039097,BREEZE HS CONC PWDR ACTVBLCH PCH12X1450G,12,4800888180414,24800888180418,1919,2149,179,199
32008595,BREEZE STAIN-ACTION BULA LQD PH 108X70ML,108,8934868113034,18934868113031,868,972,9,10
32008596,BREEZE STAIN-ACTION BULA LQD PH 12X1L,12,8934868113041,18934868113048,1350,1512,126,140
32008597,BREEZE STAIN-ACTION BULA LQD PH 12X700ML,12,8934868113058,18934868113055,956,1070,89,99
21082436,SURF DWL LQD LEMON SCH 288X22ML,288,4800888161307,24800888161301,861,965,3,4
21109061,SURF DWL LQD LEMON SCH 48X50ML,48,4800888160157,24800888160151,386,432,9,10
21082437,SURF DWL LQD LEMON POU 36X190ML,36,4800888140432,24800888140436,852,954,27,29
64028157,SURF DWL LIQUID LEMON 24x250ml,24,8934868058168,18934868058165,963,1079,45,48
21082434,SURF DWL LQD LEMON POU 12X750ML,12,4800888151070,24800888151074,1093,1224,102,109
21107050,SURF DWL LQD KALAMANSI SACHET 288X22ML,288,4800888164841,24800888164845,861,965,3,4
21107051,SURF DWL LQD KALAMANSI POU 36X190ML,36,4800888151056,24800888151050,852,954,27,29
