"Promotion Number","Promotion Description","U2K2 I/O No","Start Date","End Date","BUY Quota","Quota UOM","GET Quota","Quota UOM","Quantity Type","Header Qty","Site","Site BUY Quota","Site GET Quota","Level","Cluster","outlet type","Outlet sub typ","Perf store","Buy Mat 1","Buy Qty 1","Buy Mat 2","Buy Qty 2","Buy Mat 3","Buy Qty 3","Buy Mat 4","Buy Qty 4","Buy Mat 5","Buy Qty 5","Buy Mat 6","Buy Qty 6","Buy Mat 7","Buy Qty 7","Buy Mat 8","Buy Qty 8","Buy Mat 9","Buy Qty 9","Buy Mat 10","Buy Qty 10","Get Mat 1","Get Qty 1","Get Mat 2","Get Qty 2","Get Mat 3","Get Qty 3","Get Mat 4","Get Qty 4","Get Mat 5","Get Qty 5","Get Mat 6","Get Qty 6","Get Mat 7","Get Qty 7","Get Mat 8","Get Qty 8","Get Mat 9","Get Qty 9","Get Mat 10","Get Qty 10"
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609P3","C 11 + 1","","22/09/2016","22/09/2016","2","PC","2","PC","C","3168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
